data,grupo_etario,total
2020-09-22,5-14 anos,0
2020-09-23,5-14 anos,0
2020-09-24,5-14 anos,1
2020-09-25,5-14 anos,0
2020-09-26,5-14 anos,0
2020-09-27,5-14 anos,0
2020-09-28,5-14 anos,1
2020-09-29,5-14 anos,0
2020-09-30,5-14 anos,0
2020-10-01,5-14 anos,1
2020-10-02,5-14 anos,0
2020-10-03,5-14 anos,1
2020-10-04,5-14 anos,0
2020-10-05,5-14 anos,0
2020-10-06,5-14 anos,0
2020-10-07,5-14 anos,0
2020-10-08,5-14 anos,0
2020-10-09,5-14 anos,0
2020-10-10,5-14 anos,0
2020-10-11,5-14 anos,1
2020-10-12,5-14 anos,0
2020-10-13,5-14 anos,0
2020-10-14,5-14 anos,0
2020-10-15,5-14 anos,0
2020-10-16,5-14 anos,0
2020-10-17,5-14 anos,0
2020-10-18,5-14 anos,0
2020-10-19,5-14 anos,0
2020-10-20,5-14 anos,1
2020-10-21,5-14 anos,0
2020-10-22,5-14 anos,0
2020-10-23,5-14 anos,0
2020-10-24,5-14 anos,0
2020-10-25,5-14 anos,0
2020-10-26,5-14 anos,0
2020-10-27,5-14 anos,0
2020-10-28,5-14 anos,0
2020-10-29,5-14 anos,0
2020-10-30,5-14 anos,0
2020-01-01,15-24 anos,0
2020-01-02,15-24 anos,2
2020-01-03,15-24 anos,2
2020-01-04,15-24 anos,1
2020-01-05,15-24 anos,2
2020-01-06,15-24 anos,2
2020-01-07,15-24 anos,0
2020-01-08,15-24 anos,2
2020-01-09,15-24 anos,0
2020-01-10,15-24 anos,1
2020-01-11,15-24 anos,0
2020-01-12,15-24 anos,1
2020-01-13,15-24 anos,0
2020-01-14,15-24 anos,2
2020-01-15,15-24 anos,2
2020-01-16,15-24 anos,0
2020-01-17,15-24 anos,0
2020-01-18,15-24 anos,1
2020-01-19,15-24 anos,0
2020-01-20,15-24 anos,1
2020-01-21,15-24 anos,1
2020-01-22,15-24 anos,0
2020-01-23,15-24 anos,0
2020-01-24,15-24 anos,1
2020-01-25,15-24 anos,1
2020-01-26,15-24 anos,1
2020-01-27,15-24 anos,0
2020-01-28,15-24 anos,1
2020-01-29,15-24 anos,4
2020-01-30,15-24 anos,1
2020-01-31,15-24 anos,0
2020-02-01,15-24 anos,2
2020-02-02,15-24 anos,1
2020-02-03,15-24 anos,0
2020-02-04,15-24 anos,0
2020-02-05,15-24 anos,1
2020-02-06,15-24 anos,1
2020-02-07,15-24 anos,0
2020-02-08,15-24 anos,1
2020-02-09,15-24 anos,0
2020-02-10,15-24 anos,0
2020-02-11,15-24 anos,0
2020-02-12,15-24 anos,1
2020-02-13,15-24 anos,1
2020-02-14,15-24 anos,0
2020-02-15,15-24 anos,0
2020-02-16,15-24 anos,0
2020-02-17,15-24 anos,1
2020-02-18,15-24 anos,0
2020-02-19,15-24 anos,0
2020-02-20,15-24 anos,1
2020-02-21,15-24 anos,4
2020-02-22,15-24 anos,2
2020-02-23,15-24 anos,1
2020-02-24,15-24 anos,2
2020-02-25,15-24 anos,2
2020-02-26,15-24 anos,1
2020-02-27,15-24 anos,2
2020-02-28,15-24 anos,1
2020-02-29,15-24 anos,0
2020-03-01,15-24 anos,0
2020-03-02,15-24 anos,2
2020-03-03,15-24 anos,2
2020-03-04,15-24 anos,1
2020-03-05,15-24 anos,2
2020-03-06,15-24 anos,2
2020-03-07,15-24 anos,1
2020-03-08,15-24 anos,0
2020-03-09,15-24 anos,2
2020-03-10,15-24 anos,0
2020-03-11,15-24 anos,0
2020-03-12,15-24 anos,1
2020-03-13,15-24 anos,0
2020-03-14,15-24 anos,0
2020-03-15,15-24 anos,2
2020-03-16,15-24 anos,0
2020-03-17,15-24 anos,1
2020-03-18,15-24 anos,1
2020-03-19,15-24 anos,1
2020-03-20,15-24 anos,0
2020-03-21,15-24 anos,0
2020-03-22,15-24 anos,0
2020-03-23,15-24 anos,0
2020-03-24,15-24 anos,1
2020-03-25,15-24 anos,1
2020-03-26,15-24 anos,1
2020-03-27,15-24 anos,0
2020-03-28,15-24 anos,2
2020-03-29,15-24 anos,0
2020-03-30,15-24 anos,0
2020-03-31,15-24 anos,3
2020-04-01,15-24 anos,1
2020-04-02,15-24 anos,0
2020-04-03,15-24 anos,0
2020-04-04,15-24 anos,3
2020-04-05,15-24 anos,0
2020-04-06,15-24 anos,0
2020-04-07,15-24 anos,0
2020-04-08,15-24 anos,0
2020-04-09,15-24 anos,1
2020-04-10,15-24 anos,0
2020-04-11,15-24 anos,0
2020-04-12,15-24 anos,2
2020-04-13,15-24 anos,0
2020-04-14,15-24 anos,2
2020-04-15,15-24 anos,0
2020-04-16,15-24 anos,0
2020-04-17,15-24 anos,0
2020-04-18,15-24 anos,1
2020-04-19,15-24 anos,0
2020-04-20,15-24 anos,1
2020-04-21,15-24 anos,3
2020-04-22,15-24 anos,1
2020-04-23,15-24 anos,1
2020-04-24,15-24 anos,1
2020-04-25,15-24 anos,0
2020-04-26,15-24 anos,0
2020-04-27,15-24 anos,1
2020-04-28,15-24 anos,0
2020-04-29,15-24 anos,2
2020-04-30,15-24 anos,3
2020-05-01,15-24 anos,0
2020-05-02,15-24 anos,0
2020-05-03,15-24 anos,0
2020-05-04,15-24 anos,1
2020-05-05,15-24 anos,0
2020-05-06,15-24 anos,1
2020-05-07,15-24 anos,0
2020-05-08,15-24 anos,0
2020-05-09,15-24 anos,3
2020-05-10,15-24 anos,0
2020-05-11,15-24 anos,0
2020-05-12,15-24 anos,0
2020-05-13,15-24 anos,0
2020-05-14,15-24 anos,0
2020-05-15,15-24 anos,0
2020-05-16,15-24 anos,2
2020-05-17,15-24 anos,2
2020-05-18,15-24 anos,1
2020-05-19,15-24 anos,2
2020-05-20,15-24 anos,3
2020-05-21,15-24 anos,1
2020-05-22,15-24 anos,2
2020-05-23,15-24 anos,2
2020-05-24,15-24 anos,0
2020-05-25,15-24 anos,1
2020-05-26,15-24 anos,1
2020-05-27,15-24 anos,1
2020-05-28,15-24 anos,0
2020-05-29,15-24 anos,1
2020-05-30,15-24 anos,1
2020-05-31,15-24 anos,2
2020-06-01,15-24 anos,1
2020-06-02,15-24 anos,2
2020-06-03,15-24 anos,3
2020-06-04,15-24 anos,2
2020-06-05,15-24 anos,0
2020-06-06,15-24 anos,1
2020-06-07,15-24 anos,0
2020-06-08,15-24 anos,2
2020-06-09,15-24 anos,0
2020-06-10,15-24 anos,1
2020-06-11,15-24 anos,0
2020-06-12,15-24 anos,0
2020-06-13,15-24 anos,2
2020-06-14,15-24 anos,2
2020-06-15,15-24 anos,2
2020-06-16,15-24 anos,2
2020-06-17,15-24 anos,0
2020-06-18,15-24 anos,1
2020-06-19,15-24 anos,2
2020-06-20,15-24 anos,0
2020-06-21,15-24 anos,1
2020-06-22,15-24 anos,1
2020-06-23,15-24 anos,1
2020-06-24,15-24 anos,1
2020-06-25,15-24 anos,1
2020-06-26,15-24 anos,1
2020-06-27,15-24 anos,1
2020-06-28,15-24 anos,2
2020-06-29,15-24 anos,0
2020-06-30,15-24 anos,0
2020-07-01,15-24 anos,0
2020-07-02,15-24 anos,2
2020-07-03,15-24 anos,1
2020-07-04,15-24 anos,0
2020-07-05,15-24 anos,3
2020-07-06,15-24 anos,1
2020-07-07,15-24 anos,0
2020-07-08,15-24 anos,2
2020-07-09,15-24 anos,2
2020-07-10,15-24 anos,0
2020-07-11,15-24 anos,1
2020-07-12,15-24 anos,1
2020-07-13,15-24 anos,2
2020-07-14,15-24 anos,2
2020-07-15,15-24 anos,0
2020-07-16,15-24 anos,0
2020-07-17,15-24 anos,3
2020-07-18,15-24 anos,1
2020-07-19,15-24 anos,4
2020-07-20,15-24 anos,0
2020-07-21,15-24 anos,3
2020-07-22,15-24 anos,2
2020-07-23,15-24 anos,1
2020-07-24,15-24 anos,3
2020-07-25,15-24 anos,0
2020-07-26,15-24 anos,1
2020-07-27,15-24 anos,2
2020-07-28,15-24 anos,2
2020-07-29,15-24 anos,2
2020-07-30,15-24 anos,2
2020-07-31,15-24 anos,0
2020-08-01,15-24 anos,0
2020-08-02,15-24 anos,0
2020-08-03,15-24 anos,0
2020-08-04,15-24 anos,0
2020-08-05,15-24 anos,2
2020-08-06,15-24 anos,2
2020-08-07,15-24 anos,2
2020-08-08,15-24 anos,3
2020-08-09,15-24 anos,0
2020-08-10,15-24 anos,2
2020-08-11,15-24 anos,1
2020-08-12,15-24 anos,0
2020-08-13,15-24 anos,2
2020-08-14,15-24 anos,0
2020-08-15,15-24 anos,1
2020-08-16,15-24 anos,1
2020-08-17,15-24 anos,0
2020-08-18,15-24 anos,0
2020-08-19,15-24 anos,0
2020-08-20,15-24 anos,1
2020-08-21,15-24 anos,2
2020-08-22,15-24 anos,2
2020-08-23,15-24 anos,0
2020-08-24,15-24 anos,2
2020-08-25,15-24 anos,0
2020-08-26,15-24 anos,1
2020-08-27,15-24 anos,1
2020-08-28,15-24 anos,1
2020-08-29,15-24 anos,0
2020-08-30,15-24 anos,2
2020-08-31,15-24 anos,0
2020-09-01,15-24 anos,1
2020-09-02,15-24 anos,2
2020-09-03,15-24 anos,2
2020-09-04,15-24 anos,0
2020-09-05,15-24 anos,2
2020-09-06,15-24 anos,0
2020-09-07,15-24 anos,1
2020-09-08,15-24 anos,0
2020-09-09,15-24 anos,0
2020-09-10,15-24 anos,0
2020-09-11,15-24 anos,1
2020-09-12,15-24 anos,1
2020-09-13,15-24 anos,2
2020-09-14,15-24 anos,0
2020-09-15,15-24 anos,0
2020-09-16,15-24 anos,2
2020-09-17,15-24 anos,1
2020-09-18,15-24 anos,2
2020-09-19,15-24 anos,2
2020-09-20,15-24 anos,0
2020-09-21,15-24 anos,1
2020-09-22,15-24 anos,0
2020-09-23,15-24 anos,1
2020-09-24,15-24 anos,1
2020-09-25,15-24 anos,1
2020-09-26,15-24 anos,0
2020-09-27,15-24 anos,0
2020-09-28,15-24 anos,0
2020-09-29,15-24 anos,2
2020-09-30,15-24 anos,1
2020-10-01,15-24 anos,2
2020-10-02,15-24 anos,0
2020-10-03,15-24 anos,0
2020-10-04,15-24 anos,0
2020-10-05,15-24 anos,0
2020-10-06,15-24 anos,0
2020-10-07,15-24 anos,0
2020-10-08,15-24 anos,2
2020-10-09,15-24 anos,2
2020-10-10,15-24 anos,2
2020-10-11,15-24 anos,0
2020-10-12,15-24 anos,1
2020-10-13,15-24 anos,0
2020-10-14,15-24 anos,2
2020-10-15,15-24 anos,1
2020-10-16,15-24 anos,2
2020-10-17,15-24 anos,1
2020-10-18,15-24 anos,1
2020-10-19,15-24 anos,1
2020-10-20,15-24 anos,0
2020-10-21,15-24 anos,1
2020-10-22,15-24 anos,1
2020-10-23,15-24 anos,2
2020-10-24,15-24 anos,2
2020-10-25,15-24 anos,1
2020-10-26,15-24 anos,2
2020-10-27,15-24 anos,1
2020-10-28,15-24 anos,1
2020-10-29,15-24 anos,1
2020-10-30,15-24 anos,0
2020-01-01,25-34 anos,6
2020-01-02,25-34 anos,3
2020-01-03,25-34 anos,2
2020-01-04,25-34 anos,6
2020-01-05,25-34 anos,0
2020-01-06,25-34 anos,1
2020-01-07,25-34 anos,2
2020-01-08,25-34 anos,1
2020-01-09,25-34 anos,0
2020-01-10,25-34 anos,1
2020-01-11,25-34 anos,2
2020-01-12,25-34 anos,2
2020-01-13,25-34 anos,1
2020-01-14,25-34 anos,3
2020-01-15,25-34 anos,2
2020-01-16,25-34 anos,1
2020-01-17,25-34 anos,0
2020-01-18,25-34 anos,1
2020-01-19,25-34 anos,2
2020-01-20,25-34 anos,3
2020-01-21,25-34 anos,2
2020-01-22,25-34 anos,1
2020-01-23,25-34 anos,1
2020-01-24,25-34 anos,0
2020-01-25,25-34 anos,1
2020-01-26,25-34 anos,1
2020-01-27,25-34 anos,5
2020-01-28,25-34 anos,2
2020-01-29,25-34 anos,1
2020-01-30,25-34 anos,0
2020-01-31,25-34 anos,3
2020-02-01,25-34 anos,3
2020-02-02,25-34 anos,2
2020-02-03,25-34 anos,2
2020-02-04,25-34 anos,2
2020-02-05,25-34 anos,2
2020-02-06,25-34 anos,1
2020-02-07,25-34 anos,2
2020-02-08,25-34 anos,1
2020-02-09,25-34 anos,1
2020-02-10,25-34 anos,2
2020-02-11,25-34 anos,2
2020-02-12,25-34 anos,1
2020-02-13,25-34 anos,2
2020-02-14,25-34 anos,1
2020-02-15,25-34 anos,3
2020-02-16,25-34 anos,0
2020-02-17,25-34 anos,2
2020-02-18,25-34 anos,3
2020-02-19,25-34 anos,2
2020-02-20,25-34 anos,3
2020-02-21,25-34 anos,1
2020-02-22,25-34 anos,0
2020-02-23,25-34 anos,1
2020-02-24,25-34 anos,3
2020-02-25,25-34 anos,1
2020-02-26,25-34 anos,1
2020-02-27,25-34 anos,2
2020-02-28,25-34 anos,1
2020-02-29,25-34 anos,0
2020-03-01,25-34 anos,2
2020-03-02,25-34 anos,2
2020-03-03,25-34 anos,0
2020-03-04,25-34 anos,1
2020-03-05,25-34 anos,1
2020-03-06,25-34 anos,3
2020-03-07,25-34 anos,2
2020-03-08,25-34 anos,3
2020-03-09,25-34 anos,4
2020-03-10,25-34 anos,2
2020-03-11,25-34 anos,1
2020-03-12,25-34 anos,2
2020-03-13,25-34 anos,0
2020-03-14,25-34 anos,2
2020-03-15,25-34 anos,1
2020-03-16,25-34 anos,1
2020-03-17,25-34 anos,3
2020-03-18,25-34 anos,0
2020-03-19,25-34 anos,0
2020-03-20,25-34 anos,0
2020-03-21,25-34 anos,1
2020-03-22,25-34 anos,2
2020-03-23,25-34 anos,1
2020-03-24,25-34 anos,4
2020-03-25,25-34 anos,2
2020-03-26,25-34 anos,3
2020-03-27,25-34 anos,2
2020-03-28,25-34 anos,2
2020-03-29,25-34 anos,0
2020-03-30,25-34 anos,3
2020-03-31,25-34 anos,2
2020-04-01,25-34 anos,2
2020-04-02,25-34 anos,0
2020-04-03,25-34 anos,3
2020-04-04,25-34 anos,2
2020-04-05,25-34 anos,1
2020-04-06,25-34 anos,2
2020-04-07,25-34 anos,3
2020-04-08,25-34 anos,2
2020-04-09,25-34 anos,1
2020-04-10,25-34 anos,2
2020-04-11,25-34 anos,0
2020-04-12,25-34 anos,1
2020-04-13,25-34 anos,2
2020-04-14,25-34 anos,2
2020-04-15,25-34 anos,2
2020-04-16,25-34 anos,4
2020-04-17,25-34 anos,2
2020-04-18,25-34 anos,0
2020-04-19,25-34 anos,2
2020-04-20,25-34 anos,1
2020-04-21,25-34 anos,2
2020-04-22,25-34 anos,1
2020-04-23,25-34 anos,1
2020-04-24,25-34 anos,1
2020-04-25,25-34 anos,3
2020-04-26,25-34 anos,0
2020-04-27,25-34 anos,1
2020-04-28,25-34 anos,3
2020-04-29,25-34 anos,1
2020-04-30,25-34 anos,1
2020-05-01,25-34 anos,0
2020-05-02,25-34 anos,1
2020-05-03,25-34 anos,0
2020-05-04,25-34 anos,1
2020-05-05,25-34 anos,0
2020-05-06,25-34 anos,0
2020-05-07,25-34 anos,3
2020-05-08,25-34 anos,0
2020-05-09,25-34 anos,2
2020-05-10,25-34 anos,2
2020-05-11,25-34 anos,2
2020-05-12,25-34 anos,1
2020-05-13,25-34 anos,0
2020-05-14,25-34 anos,1
2020-05-15,25-34 anos,1
2020-05-16,25-34 anos,2
2020-05-17,25-34 anos,1
2020-05-18,25-34 anos,1
2020-05-19,25-34 anos,0
2020-05-20,25-34 anos,2
2020-05-21,25-34 anos,1
2020-05-22,25-34 anos,2
2020-05-23,25-34 anos,1
2020-05-24,25-34 anos,3
2020-05-25,25-34 anos,4
2020-05-26,25-34 anos,3
2020-05-27,25-34 anos,1
2020-05-28,25-34 anos,1
2020-05-29,25-34 anos,3
2020-05-30,25-34 anos,1
2020-05-31,25-34 anos,1
2020-06-01,25-34 anos,1
2020-06-02,25-34 anos,0
2020-06-03,25-34 anos,2
2020-06-04,25-34 anos,2
2020-06-05,25-34 anos,1
2020-06-06,25-34 anos,0
2020-06-07,25-34 anos,2
2020-06-08,25-34 anos,0
2020-06-09,25-34 anos,1
2020-06-10,25-34 anos,1
2020-06-11,25-34 anos,0
2020-06-12,25-34 anos,1
2020-06-13,25-34 anos,0
2020-06-14,25-34 anos,3
2020-06-15,25-34 anos,0
2020-06-16,25-34 anos,1
2020-06-17,25-34 anos,4
2020-06-18,25-34 anos,1
2020-06-19,25-34 anos,0
2020-06-20,25-34 anos,4
2020-06-21,25-34 anos,2
2020-06-22,25-34 anos,1
2020-06-23,25-34 anos,2
2020-06-24,25-34 anos,1
2020-06-25,25-34 anos,0
2020-06-26,25-34 anos,0
2020-06-27,25-34 anos,2
2020-06-28,25-34 anos,1
2020-06-29,25-34 anos,1
2020-06-30,25-34 anos,3
2020-07-01,25-34 anos,1
2020-07-02,25-34 anos,1
2020-07-03,25-34 anos,2
2020-07-04,25-34 anos,4
2020-07-05,25-34 anos,4
2020-07-06,25-34 anos,2
2020-07-07,25-34 anos,3
2020-07-08,25-34 anos,4
2020-07-09,25-34 anos,2
2020-07-10,25-34 anos,1
2020-07-11,25-34 anos,1
2020-07-12,25-34 anos,1
2020-07-13,25-34 anos,4
2020-07-14,25-34 anos,0
2020-07-15,25-34 anos,1
2020-07-16,25-34 anos,3
2020-07-17,25-34 anos,1
2020-07-18,25-34 anos,4
2020-07-19,25-34 anos,0
2020-07-20,25-34 anos,2
2020-07-21,25-34 anos,2
2020-07-22,25-34 anos,0
2020-07-23,25-34 anos,0
2020-07-24,25-34 anos,1
2020-07-25,25-34 anos,1
2020-07-26,25-34 anos,0
2020-07-27,25-34 anos,3
2020-07-28,25-34 anos,3
2020-07-29,25-34 anos,2
2020-07-30,25-34 anos,1
2020-07-31,25-34 anos,2
2020-08-01,25-34 anos,1
2020-08-02,25-34 anos,0
2020-08-03,25-34 anos,1
2020-08-04,25-34 anos,0
2020-08-05,25-34 anos,0
2020-08-06,25-34 anos,0
2020-08-07,25-34 anos,1
2020-08-08,25-34 anos,1
2020-08-09,25-34 anos,1
2020-08-10,25-34 anos,0
2020-08-11,25-34 anos,0
2020-08-12,25-34 anos,1
2020-08-13,25-34 anos,1
2020-08-14,25-34 anos,0
2020-08-15,25-34 anos,0
2020-08-16,25-34 anos,1
2020-08-17,25-34 anos,2
2020-08-18,25-34 anos,3
2020-08-19,25-34 anos,2
2020-08-20,25-34 anos,1
2020-08-21,25-34 anos,2
2020-08-22,25-34 anos,4
2020-08-23,25-34 anos,4
2020-08-24,25-34 anos,3
2020-08-25,25-34 anos,2
2020-08-26,25-34 anos,4
2020-08-27,25-34 anos,1
2020-08-28,25-34 anos,3
2020-08-29,25-34 anos,2
2020-08-30,25-34 anos,1
2020-08-31,25-34 anos,3
2020-09-01,25-34 anos,1
2020-09-02,25-34 anos,1
2020-09-03,25-34 anos,1
2020-09-04,25-34 anos,5
2020-09-05,25-34 anos,1
2020-09-06,25-34 anos,1
2020-09-07,25-34 anos,2
2020-09-08,25-34 anos,0
2020-09-09,25-34 anos,0
2020-09-10,25-34 anos,3
2020-09-11,25-34 anos,1
2020-09-12,25-34 anos,2
2020-09-13,25-34 anos,3
2020-09-14,25-34 anos,0
2020-09-15,25-34 anos,0
2020-09-16,25-34 anos,1
2020-09-17,25-34 anos,0
2020-09-18,25-34 anos,1
2020-09-19,25-34 anos,1
2020-09-20,25-34 anos,3
2020-09-21,25-34 anos,1
2020-09-22,25-34 anos,1
2020-09-23,25-34 anos,1
2020-09-24,25-34 anos,0
2020-09-25,25-34 anos,1
2020-09-26,25-34 anos,1
2020-09-27,25-34 anos,3
2020-09-28,25-34 anos,1
2020-09-29,25-34 anos,0
2020-09-30,25-34 anos,1
2020-10-01,25-34 anos,1
2020-10-02,25-34 anos,0
2020-10-03,25-34 anos,1
2020-10-04,25-34 anos,1
2020-10-05,25-34 anos,1
2020-10-06,25-34 anos,1
2020-10-07,25-34 anos,1
2020-10-08,25-34 anos,2
2020-10-09,25-34 anos,2
2020-10-10,25-34 anos,3
2020-10-11,25-34 anos,3
2020-10-12,25-34 anos,1
2020-10-13,25-34 anos,0
2020-10-14,25-34 anos,4
2020-10-15,25-34 anos,1
2020-10-16,25-34 anos,2
2020-10-17,25-34 anos,3
2020-10-18,25-34 anos,5
2020-10-19,25-34 anos,1
2020-10-20,25-34 anos,2
2020-10-21,25-34 anos,2
2020-10-22,25-34 anos,2
2020-10-23,25-34 anos,1
2020-10-24,25-34 anos,3
2020-10-25,25-34 anos,3
2020-10-26,25-34 anos,1
2020-10-27,25-34 anos,2
2020-10-28,25-34 anos,1
2020-10-29,25-34 anos,1
2020-10-30,25-34 anos,0
2020-01-01,35-44 anos,3
2020-01-02,35-44 anos,5
2020-01-03,35-44 anos,3
2020-01-04,35-44 anos,4
2020-01-05,35-44 anos,5
2020-01-06,35-44 anos,2
2020-01-07,35-44 anos,5
2020-01-08,35-44 anos,6
2020-01-09,35-44 anos,4
2020-01-10,35-44 anos,2
2020-01-11,35-44 anos,5
2020-01-12,35-44 anos,3
2020-01-13,35-44 anos,2
2020-01-14,35-44 anos,6
2020-01-15,35-44 anos,3
2020-01-16,35-44 anos,4
2020-01-17,35-44 anos,7
2020-01-18,35-44 anos,6
2020-01-19,35-44 anos,4
2020-01-20,35-44 anos,4
2020-01-21,35-44 anos,4
2020-01-22,35-44 anos,1
2020-01-23,35-44 anos,5
2020-01-24,35-44 anos,2
2020-01-25,35-44 anos,3
2020-01-26,35-44 anos,5
2020-01-27,35-44 anos,7
2020-01-28,35-44 anos,4
2020-01-29,35-44 anos,6
2020-01-30,35-44 anos,1
2020-01-31,35-44 anos,1
2020-02-01,35-44 anos,4
2020-02-02,35-44 anos,4
2020-02-03,35-44 anos,2
2020-02-04,35-44 anos,3
2020-02-05,35-44 anos,7
2020-02-06,35-44 anos,5
2020-02-07,35-44 anos,7
2020-02-08,35-44 anos,6
2020-02-09,35-44 anos,7
2020-02-10,35-44 anos,3
2020-02-11,35-44 anos,2
2020-02-12,35-44 anos,4
2020-02-13,35-44 anos,2
2020-02-14,35-44 anos,2
2020-02-15,35-44 anos,5
2020-02-16,35-44 anos,1
2020-02-17,35-44 anos,2
2020-02-18,35-44 anos,4
2020-02-19,35-44 anos,3
2020-02-20,35-44 anos,3
2020-02-21,35-44 anos,6
2020-02-22,35-44 anos,5
2020-02-23,35-44 anos,7
2020-02-24,35-44 anos,3
2020-02-25,35-44 anos,4
2020-02-26,35-44 anos,5
2020-02-27,35-44 anos,4
2020-02-28,35-44 anos,2
2020-02-29,35-44 anos,2
2020-03-01,35-44 anos,4
2020-03-02,35-44 anos,2
2020-03-03,35-44 anos,6
2020-03-04,35-44 anos,2
2020-03-05,35-44 anos,4
2020-03-06,35-44 anos,4
2020-03-07,35-44 anos,4
2020-03-08,35-44 anos,2
2020-03-09,35-44 anos,3
2020-03-10,35-44 anos,4
2020-03-11,35-44 anos,3
2020-03-12,35-44 anos,3
2020-03-13,35-44 anos,7
2020-03-14,35-44 anos,4
2020-03-15,35-44 anos,5
2020-03-16,35-44 anos,3
2020-03-17,35-44 anos,6
2020-03-18,35-44 anos,5
2020-03-19,35-44 anos,3
2020-03-20,35-44 anos,2
2020-03-21,35-44 anos,6
2020-03-22,35-44 anos,1
2020-03-23,35-44 anos,3
2020-03-24,35-44 anos,7
2020-03-25,35-44 anos,5
2020-03-26,35-44 anos,0
2020-03-27,35-44 anos,8
2020-03-28,35-44 anos,7
2020-03-29,35-44 anos,3
2020-03-30,35-44 anos,6
2020-03-31,35-44 anos,4
2020-04-01,35-44 anos,4
2020-04-02,35-44 anos,3
2020-04-03,35-44 anos,3
2020-04-04,35-44 anos,7
2020-04-05,35-44 anos,4
2020-04-06,35-44 anos,2
2020-04-07,35-44 anos,6
2020-04-08,35-44 anos,7
2020-04-09,35-44 anos,4
2020-04-10,35-44 anos,5
2020-04-11,35-44 anos,4
2020-04-12,35-44 anos,7
2020-04-13,35-44 anos,6
2020-04-14,35-44 anos,2
2020-04-15,35-44 anos,4
2020-04-16,35-44 anos,4
2020-04-17,35-44 anos,4
2020-04-18,35-44 anos,3
2020-04-19,35-44 anos,3
2020-04-20,35-44 anos,0
2020-04-21,35-44 anos,5
2020-04-22,35-44 anos,7
2020-04-23,35-44 anos,8
2020-04-24,35-44 anos,3
2020-04-25,35-44 anos,3
2020-04-26,35-44 anos,2
2020-04-27,35-44 anos,5
2020-04-28,35-44 anos,2
2020-04-29,35-44 anos,4
2020-04-30,35-44 anos,5
2020-05-01,35-44 anos,4
2020-05-02,35-44 anos,5
2020-05-03,35-44 anos,2
2020-05-04,35-44 anos,9
2020-05-05,35-44 anos,4
2020-05-06,35-44 anos,3
2020-05-07,35-44 anos,4
2020-05-08,35-44 anos,2
2020-05-09,35-44 anos,3
2020-05-10,35-44 anos,6
2020-05-11,35-44 anos,5
2020-05-12,35-44 anos,5
2020-05-13,35-44 anos,5
2020-05-14,35-44 anos,7
2020-05-15,35-44 anos,4
2020-05-16,35-44 anos,5
2020-05-17,35-44 anos,3
2020-05-18,35-44 anos,5
2020-05-19,35-44 anos,2
2020-05-20,35-44 anos,3
2020-05-21,35-44 anos,5
2020-05-22,35-44 anos,4
2020-05-23,35-44 anos,4
2020-05-24,35-44 anos,7
2020-05-25,35-44 anos,4
2020-05-26,35-44 anos,5
2020-05-27,35-44 anos,5
2020-05-28,35-44 anos,3
2020-05-29,35-44 anos,6
2020-05-30,35-44 anos,3
2020-05-31,35-44 anos,10
2020-06-01,35-44 anos,6
2020-06-02,35-44 anos,7
2020-06-03,35-44 anos,2
2020-06-04,35-44 anos,6
2020-06-05,35-44 anos,4
2020-06-06,35-44 anos,3
2020-06-07,35-44 anos,2
2020-06-08,35-44 anos,3
2020-06-09,35-44 anos,4
2020-06-10,35-44 anos,2
2020-06-11,35-44 anos,5
2020-06-12,35-44 anos,8
2020-06-13,35-44 anos,4
2020-06-14,35-44 anos,5
2020-06-15,35-44 anos,4
2020-06-16,35-44 anos,1
2020-06-17,35-44 anos,9
2020-06-18,35-44 anos,8
2020-06-19,35-44 anos,4
2020-06-20,35-44 anos,4
2020-06-21,35-44 anos,2
2020-06-22,35-44 anos,2
2020-06-23,35-44 anos,5
2020-06-24,35-44 anos,8
2020-06-25,35-44 anos,2
2020-06-26,35-44 anos,1
2020-06-27,35-44 anos,5
2020-06-28,35-44 anos,3
2020-06-29,35-44 anos,3
2020-06-30,35-44 anos,4
2020-07-01,35-44 anos,6
2020-07-02,35-44 anos,9
2020-07-03,35-44 anos,5
2020-07-04,35-44 anos,7
2020-07-05,35-44 anos,2
2020-07-06,35-44 anos,1
2020-07-07,35-44 anos,2
2020-07-08,35-44 anos,4
2020-07-09,35-44 anos,7
2020-07-10,35-44 anos,3
2020-07-11,35-44 anos,3
2020-07-12,35-44 anos,5
2020-07-13,35-44 anos,7
2020-07-14,35-44 anos,7
2020-07-15,35-44 anos,1
2020-07-16,35-44 anos,4
2020-07-17,35-44 anos,8
2020-07-18,35-44 anos,2
2020-07-19,35-44 anos,7
2020-07-20,35-44 anos,5
2020-07-21,35-44 anos,8
2020-07-22,35-44 anos,5
2020-07-23,35-44 anos,3
2020-07-24,35-44 anos,6
2020-07-25,35-44 anos,4
2020-07-26,35-44 anos,2
2020-07-27,35-44 anos,3
2020-07-28,35-44 anos,5
2020-07-29,35-44 anos,4
2020-07-30,35-44 anos,6
2020-07-31,35-44 anos,8
2020-08-01,35-44 anos,6
2020-08-02,35-44 anos,7
2020-08-03,35-44 anos,4
2020-08-04,35-44 anos,6
2020-08-05,35-44 anos,3
2020-08-06,35-44 anos,3
2020-08-07,35-44 anos,2
2020-08-08,35-44 anos,2
2020-08-09,35-44 anos,7
2020-08-10,35-44 anos,4
2020-08-11,35-44 anos,2
2020-08-12,35-44 anos,4
2020-08-13,35-44 anos,4
2020-08-14,35-44 anos,4
